ZONE,Item,Weight,Persona,Severity Level,Category
zone 3,presentations,1,1,L1,Academic
zone 3,presentations,1,4,L1,Academic
zone 3,quizzes/exams,2,1,L1,Academic
zone 3,quizzes/exams,1,3,L1,Academic
zone 3,relationship,1,1,L1,Social Connections
zone 3,relationship,1,2,L1,Social Connections
zone 3,sleep,2,1,"L1, L2",Physical and Mental Health
zone 3,sleep,1,2,L1,Physical and Mental Health
zone 3,sleep,1,3,L3,Physical and Mental Health
zone 3,work,1,1,L1,"Future, Career, and Finance"
zone 3,writing papers,1,2,L1,Academic
zone 4,class,1,3,L1,Academic
zone 4,class,1,4,L1,Academic
zone 4,Family,1,4,L1,Social Connections
zone 4,GPA,1,2,L2,Academic
zone 4,health,1,1,L1,Physical and Mental Health
zone 4,housing,1,1,L2,Social Connections
zone 4,internship,1,1,L1,"Future, Career, and Finance"
zone 4,internship,1,3,L1,"Future, Career, and Finance"
zone 4,midterms/finals,1,1,L1,Academic
zone 4,midterms/finals,1,4,L1,Academic
zone 4,optional academic programs,1,1,L1,Academic
zone 4,presentations,2,1,L1,Academic
zone 4,presentations,2,2,L1,Academic
zone 4,projects,1,4,L1,Academic
zone 4,quizzes/exams,1,4,L1,Academic
zone 4,Resident Advising,1,4,L1,Social Connections
zone 4,scholarship,1,2,L1,Academic
zone 4,scholarship,1,4,L2,Academic
zone 4,socializing,1,2,L1,Social Connections
zone 4,socializing,1,3,L2,Social Connections
zone 4,study abroad,1,2,L1,Academic
zone 4,when I feel like I don’t have time,1,4,L2,Physical and Mental Health
zone 4,writing papers,1,4,L1,Academic
zone 5,body image,1,2,L1,Physical and Mental Health
zone 5,class,1,3,L1,Academic
zone 5,family,1,1,L1,Social Connections
zone 5,family,1,3,L1,Social Connections
zone 5,finances,1,2,L1,"Future, Career, and Finance"
zone 5,finances,1,3,L1,"Future, Career, and Finance"
zone 5,future,1,4,L2,"Future, Career, and Finance"
zone 5,group work,1,4,L1,Academic
zone 5,health ,1,1,L2,Physical and Mental Health
zone 5,homework,1,2,L1,Academic
zone 5,internships,1,1,L1,"Future, Career, and Finance"
zone 5,job and career,1,1,L1,"Future, Career, and Finance"
zone 5,lab,1,1,L1,Academic
zone 5,midterms/finals,2,1,L2,Academic
zone 5,optional academic programs,1,1,L1,Academic
zone 5,optional academic programs,2,4,"L1, L2",Academic
zone 5,presentations,1,1,L1,Academic
zone 5,projects,1,1,L1,Academic
zone 5,projects,1,4,L1,Academic
zone 5,quizzes/exams,2,1,L1,Academic
zone 5,quizzes/exams,4,2,"L1, L2",Academic
zone 5,quizzes/exams,1,3,L1,Academic
zone 5,relationship,1,1,L2,Social Connections
zone 5,relationship,2,3,"L1, L2",Social Connections
zone 5,relationship,1,4,L2,Social Connections
zone 5,socializing,1,4,L2,Social Connections
zone 5,study abroad,1,1,L1,Academic
zone 6,class,1,1,L1,Academic
zone 6,finance,1,2,L1,"Future, Career, and Finance"
zone 6,finance,1,4,L1,"Future, Career, and Finance"
zone 6,future,1,3,L2,"Future, Career, and Finance"
zone 6,future,1,4,L1,"Future, Career, and Finance"
zone 6,homework,3,1,L1,Academic
zone 6,homework,2,2,"L1, L2",Academic
zone 6,homework,1,3,L1,Academic
zone 6,hygiene ,1,3,L2,Physical and Mental Health
zone 6,lectures,1,1,L1,Academic
zone 6,lectures,1,4,L2,Academic
zone 6,physical health,1,1,L2,Physical and Mental Health
zone 6,physical health,1,4,L2,Physical and Mental Health
zone 6,presentations,1,3,L1,Academic
zone 6,projects,2,1,L1,Academic
zone 6,projects,1,2,L2,Academic
zone 6,quizzes/exams,2,2,L2,Academic
zone 6,quizzes/exams,1,3,L2,Academic
zone 6,relationship,1,1,L1,Social Connections
zone 6,work,2,2,L1,"Future, Career, and Finance"
zone 6,work,1,4,L1,"Future, Career, and Finance"
zone 7,future,1,1,L2,"Future, Career, and Finance"
zone 7,GPA,1,2,L1,Academic
zone 7,group work,1,3,L1,Academic
zone 7,internship and job search ,1,1,L1,"Future, Career, and Finance"
zone 7,midterm/final,2,1,L2,Academic
zone 7,midterm/final,4,2,L2,Academic
zone 7,midterm/final,2,3,L2,Academic
zone 7,midterm/final,1,4,L1,Academic
zone 7,physical health,1,3,L2,Physical and Mental Health
zone 7,presentations,1,1,L2,Academic
zone 7,projects,1,1,L2,Academic
zone 7,projects,1,2,L2,Academic
zone 7,projects,1,3,L1,Academic
zone 7,quizzes/exams,1,2,L2,Academic
zone 7,quizzes/exams,1,3,L1,Academic
zone 7,relationship,1,2,L3,Social Connections
zone 7,talking to teachers,1,1,L2,Social Connections
zone 8,body image,1,1,L3,Physical and Mental Health
zone 8,compounding stress,1,4,L2,Physical and Mental Health
zone 8,finances,1,3,L2,"Future, Career, and Finance"
zone 8,future,2,1,"L2,L3","Future, Career, and Finance"
zone 8,GPA,1,1,L3,Academic
zone 8,health,1,2,L3,Physical and Mental Health
zone 8,homework,1,2,L1,Academic
zone 8,mean classmates,1,1,L3,Social Connections
zone 8,mental health,1,4,L2,Physical and Mental Health
zone 8,midterms/finals,3,1,"L2,L3",Academic
zone 8,midterms/finals,2,2,"L2,L3",Academic
zone 8,midterms/finals,1,3,L2,Academic
zone 8,projects,2,1,L2,Academic
zone 8,projects,1,3,L1,Academic
zone 8,quizzes/exams,3,1,"L1,L2,L3",Academic
zone 8,quizzes/exams,1,3,L2,Academic
zone 9,class,1,1,L2,Academic
zone 9,class,1,3,L2,Academic
zone 9,family,1,1,L1,Social Connections
zone 9,finances,1,1,L3,"Future, Career, and Finance"
zone 9,finances,1,3,L2,"Future, Career, and Finance"
zone 9,future,2,1,"L2,L3","Future, Career, and Finance"
zone 9,future,1,2,L3,"Future, Career, and Finance"
zone 9,future,3,3,"L2,L3","Future, Career, and Finance"
zone 9,future,1,4,L1,"Future, Career, and Finance"
zone 9,group projects,2,1,L3,Academic
zone 9,group projects,1,3,L2,Academic
zone 9,health,1,1,L3,Physical and Mental Health
zone 9,health,1,2,L2,Physical and Mental Health
zone 9,homework,1,1,L3,Academic
zone 9,homework,1,2,L2,Academic
zone 9,homework,2,3,L1,Academic
zone 9,loss of parents,1,2,L3,Social Connections
zone 9,mental health,1,2,L3,Physical and Mental Health
zone 9,mental health,2,3,L3,Physical and Mental Health
zone 9,planning,1,1,L2,"Future, Career, and Finance"
zone 9,projects,1,1,L2,Academic
zone 9,quizzes/exams,1,2,L1,Academic
zone 9,relationships,1,3,L3,Social Connections
zone 9,relationships,1,4,L3,Social Connections
zone 9,socializing,1,1,L2,Social Connections
zone 9,work,1,3,L2,"Future, Career, and Finance"
